title,brand,sku,price,currency,availability,category,image,url,_src
Sharp Objects,,e00eb4fd7b871a48,47.82,£,In stock (20 available),Books,,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,microdata/table
"In a Dark, Dark Wood",,19ed25f4641d5efd,19.63,£,In stock (18 available),Books,,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,microdata/table
The Past Never Ends,,5ee94540d0749ea0,56.50,£,In stock (16 available),Books,,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,microdata/table
A Murder in Time,,f733e8c19d40ec2e,16.64,£,In stock (16 available),Books,,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,microdata/table
The Murder of Roger Ackroyd (Hercule Poirot #4),,c7b5183f4d1d4efe,44.10,£,In stock (15 available),Books,,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,microdata/table
The Last Mile (Amos Decker #2),,3bc89353f7e3a3cc,54.21,£,In stock (14 available),Books,,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,microdata/table
That Darkness (Gardiner and Renner #1),,0c7b9cf2b7662b65,13.92,£,In stock (14 available),Books,,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,microdata/table
Tastes Like Fear (DI Marnie Rome #3),,2d1e337aaf341858,10.69,£,In stock (14 available),Books,,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,microdata/table
A Time of Torment (Charlie Parker #14),,4416c474713ec1f5,48.35,£,In stock (14 available),Books,,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,microdata/table
A Study in Scarlet (Sherlock Holmes #1),,63ee5bc46066a8a8,16.73,£,In stock (14 available),Books,,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,microdata/table
Poisonous (Max Revere Novels #3),,abdd91e96515a617,26.80,£,In stock (12 available),Books,,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,microdata/table
Murder at the 42nd Street Library (Raymond Ambler #1),,e7fe3bf2768602cf,54.36,£,In stock (12 available),Books,,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,microdata/table
