title,price_gbp,rating_5,availability
A Light in the Attic,51.77,3,In stock
Tipping the Velvet,53.74,1,In stock
Soumission,50.10,1,In stock
Sharp Objects,47.82,4,In stock
Sapiens: A Brief History of Humankind,54.23,5,In stock
The Requiem Red,22.65,1,In stock
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,4,In stock
The Black Maria,52.15,1,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock
Shakespeare's Sonnets,20.66,4,In stock
Set Me Free,17.46,5,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock
Rip it Up and Start Again,35.02,5,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock
Olio,23.88,1,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock
Libertarianism for Beginners,51.33,2,In stock
It's Only the Himalayas,45.17,2,In stock
In Her Wake,12.84,1,In stock
How Music Works,37.32,2,In stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock
Chase Me (Paris Nights #2),25.27,5,In stock
Black Dust,34.53,5,In stock
Birdsong: A Story in Pictures,54.64,3,In stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,3,In stock
Aladdin and His Wonderful Lamp,53.13,3,In stock
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.30,5,In stock
Wall and Piece,44.18,4,In stock
